"index","annotation","label"
1012,"none","9/2005"
1013,"none","906-915"
1014,"none","909-915"
1015,"none","91-104"
1016,"none","913-928"
1017,"none","92-105"
1018,"none","92-896-0434-4"
1019,"none","923-934"
1020,"none","945 - 965"
1021,"none","95-104"
1022,"none","96"
1023,"none","96 - 107"
1024,"none","97-107"
1025,"none","97-112"
1026,"none","972-986"
1027,"none","978-985"
1028,"none","98"
1029,"none","98-103"
1030,"none","987-991"
1031,"none","989"
1032,"none","99--103"
1033,"none","99--106"
1034,"none","99-109"
1035,"none","<b>Awarded with the first prize of the Integrata foundation, TÃ¼bingen, (Dr. Wolfgang Heilmann Award for humane usage of information technology)</b>"
1036,"none","<b>Nominated for best paper award!</b>"
1037,"none","A Bidirectional ILP Algorithm"
1038,"none","A Case Study: Assumptions and Limitations of a Problem-Solving Method"
1039,"none","A Comparision Of Two Approaches To Model-Based Knowledge Acquisition"
1040,"none","A Comparison Of Languages Which Operationalize And Formalize KADS Models of Expertise"
1041,"none","A Comparison of Disjunctive Well-founded Semantics"
1042,"none","A Comprehensive Approach for the Query Refinement in Information Portals"
1043,"none","A Conceptual Information System consists of a database together with conceptual hierarchies. The visualization of arbitrary combinations of conceptual hierarÂ­ chies by nested line diagrams allows an onÂ­line interaction with a database to analyze data conceptually. The chapter describes the conception of Conceptual Information Systems and discusses the use of their visualization techniques for OnÂ­Line Analytical Processing (OLAP)."
1044,"none","A Conceptual Modeling Approach for Semantics-Driven Enterprise Applications"
1045,"none","A Conceptual Modeling Approach for building semantics-driven enterprise applications"
1046,"none","A Contextual-Logic Extension of TOSCANA"
1047,"none","A Decentralized Infrastructure for Query Answering over Distributed Ontologies"
1048,"none","A Deduction Calculus for Cumulated Clauses on FLE Concept Descriptions"
1049,"none","A Formal Foundation for Workflow Composition, Workflow View Definition, and Workflow Normalization based on Petri Nets"
1050,"none","A Framework for Handling Inconsistency in Changing Ontologies"
1051,"none","A Framework for the Cooperation Support in Educational e-Business Applications"
1052,"none","A Future Perspective: Exploiting Peer-to-Peer and the Semantic Web for Knowledge Management"
1053,"none","A Genetic Algorithm Approach to Self-Organizing Knowledge Intensive Processes"
1054,"none","A Guided Tour through the Data Mining Jungle"
1055,"none","A Heuristic Approach towards an Integrated View on Portfolio Return, Market Risk, Credit Risk and Operational Risk"
1056,"none","A Kampman"
1057,"none","A Knowledge Discovery Workbench for the Semantic Web"
