doi,instance,num_citations,cls
10.1007/s10994-012-5294-7,http://dblp.l3s.de/d2r/resource/publications/journals/ml/RozzaLCCC12,1,0
10.1162/jocn.2009.21191,http://dblp.l3s.de/d2r/resource/publications/journals/jocn/WienerHTMC10,1,0
10.1109/76.313138,http://dblp.l3s.de/d2r/resource/publications/journals/tcsv/LiZL94,1,0
10.1016/j.jag.2014.03.004,http://dblp.l3s.de/d2r/resource/publications/journals/aeog/GartnerFKK14,1,0
10.1016/j.csl.2013.02.005,http://dblp.l3s.de/d2r/resource/publications/journals/csl/AlexanderssonB14,1,0
10.1093/bioinformatics/btm242,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/TragerKMSBSR07,2,1
10.1093/bioinformatics/bts303,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/TakahashiTNO12,1,0
10.3390/mi6081100,http://dblp.l3s.de/d2r/resource/publications/journals/micromachines/SaeediE15,1,0
10.1155/2012/932181,http://dblp.l3s.de/d2r/resource/publications/journals/jcnc/KailasCM12,1,0
10.1016/j.ejor.2014.01.029,http://dblp.l3s.de/d2r/resource/publications/journals/eor/YuTGYK14,1,0
10.1186/s13015-014-0028-y,http://dblp.l3s.de/d2r/resource/publications/journals/almob/GoldsteinB15,1,0
10.1518/001872095779049499,http://dblp.l3s.de/d2r/resource/publications/journals/hf/Endsley95a,1,0
10.1137/140971099,http://dblp.l3s.de/d2r/resource/publications/journals/siamads/Ly14,2,1
10.1016/j.ijmedinf.2011.11.008,http://dblp.l3s.de/d2r/resource/publications/journals/ijmi/HofferFCLTLPKLKGJ12,1,0
10.1186/s12918-016-0260-9,http://dblp.l3s.de/d2r/resource/publications/journals/bmcsb/PavelSR16,1,0
10.1093/nar/10.13.3933,http://dblp.l3s.de/d2r/resource/publications/journals/nar/MiesfeldA82,1,0
10.1007/978-3-658-07141-7_1,http://dblp.l3s.de/d2r/resource/publications/conf/gfheu/Castro-SanchezCMGH14,3,1
10.1016/j.robot.2010.02.009,http://dblp.l3s.de/d2r/resource/publications/journals/ras/Lopez-NicolasGS10a,1,0
10.1093/bioinformatics/btr152,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/JungBBB11,1,0
10.1016/j.neuroimage.2010.03.054,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/DuboisBLBLMH10,2,1
10.1371/journal.pcbi.1004822,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/GarmaroudiHLL16,1,0
10.1016/j.patcog.2007.04.003,http://dblp.l3s.de/d2r/resource/publications/journals/pr/FernandesO08,3,1
10.1016/j.joi.2012.10.004,http://dblp.l3s.de/d2r/resource/publications/journals/joi/VanderelstS13,2,1
10.1021/ci4007003,http://dblp.l3s.de/d2r/resource/publications/journals/jcisd/VishnepolskyP14,1,0
10.1137/1.9781611972757.70,http://dblp.l3s.de/d2r/resource/publications/conf/sdm/DingH05,2,1
10.1016/j.pmcj.2014.01.006,http://dblp.l3s.de/d2r/resource/publications/journals/percom/ChenL15,1,0
10.1016/j.patrec.2014.11.012,http://dblp.l3s.de/d2r/resource/publications/journals/prl/LeskiK15,1,0
10.1016/j.cmpb.2014.11.003,http://dblp.l3s.de/d2r/resource/publications/journals/cmpb/MarinGSB15,1,0
10.1007/s11192-011-0561-0,http://dblp.l3s.de/d2r/resource/publications/journals/scientometrics/Vanclay12,7,1
10.1093/nar/29.1.239,http://dblp.l3s.de/d2r/resource/publications/journals/nar/XenariosFSDTME01,5,1
10.1021/ci8001167,http://dblp.l3s.de/d2r/resource/publications/journals/jcisd/YinBVD08,3,1
10.1137/120878537,http://dblp.l3s.de/d2r/resource/publications/journals/siamads/PaisCL12,1,0
10.1093/bioinformatics/btm097,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/MudunuriN07,5,1
10.1093/nar/26.1.362,http://dblp.l3s.de/d2r/resource/publications/journals/nar/HeinemeyerWRHKKIAPKPK98,11,1
10.1007/978-3-319-13987-6_21,http://dblp.l3s.de/d2r/resource/publications/conf/taai/JonnagaddalaLRKD14,1,0
10.3389/fncom.2014.00126,http://dblp.l3s.de/d2r/resource/publications/journals/ficn/JanssenHHG14,1,0
10.1016/j.comnet.2014.12.003,http://dblp.l3s.de/d2r/resource/publications/journals/cn/TashtarianMSE15,1,0
10.1093/nar/26.1.265,http://dblp.l3s.de/d2r/resource/publications/journals/nar/GiannelliGSPLSRGYFB98,2,1
10.1002/ima.22110,http://dblp.l3s.de/d2r/resource/publications/journals/imst/LeeLPYY14,2,1
10.1016/j.patcog.2010.09.007,http://dblp.l3s.de/d2r/resource/publications/journals/pr/DoerschnerKS11,1,0
10.1162/105474603322391631,http://dblp.l3s.de/d2r/resource/publications/journals/presence/BideauKMFMDA03,1,0
10.1016/j.neuroimage.2013.05.014,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/FujimotoMHHKYMM14,3,1
10.1016/j.neuroimage.2012.02.046,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/ColonneseK12,7,1
10.4304/jmm.9.6.774-780,http://dblp.l3s.de/d2r/resource/publications/journals/jmm2/TianGQWF14,1,0
10.1007/978-3-319-16199-0_35,http://dblp.l3s.de/d2r/resource/publications/conf/eccv/LeeM14,1,0
10.1093/nar/gkl800,http://dblp.l3s.de/d2r/resource/publications/journals/nar/PerezAVC07,1,0
10.1093/nar/gku379,http://dblp.l3s.de/d2r/resource/publications/journals/nar/AwaleR14,1,0
10.1016/j.sigpro.2004.04.001,http://dblp.l3s.de/d2r/resource/publications/journals/sigpro/BihanM04,1,0
10.1016/j.chb.2010.10.018,http://dblp.l3s.de/d2r/resource/publications/journals/chb/TinwellGNW11,1,0
10.1371/journal.pcbi.1002951,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/JohnsonK13,2,1
10.1093/bioinformatics/bth244,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/MarsdenA04,2,1
10.1371/journal.pcbi.1003493,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/MatsenSSEFWCHELJ14,1,0
10.1371/journal.pcbi.1000561,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/RijsbergenS09,1,0
10.1093/bioinformatics/btr122,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/HummelBLR11,1,0
10.1093/bioinformatics/bth176,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/SiegmundLL04,1,0
10.1136/amiajnl-2011-000456,http://dblp.l3s.de/d2r/resource/publications/journals/jamia/PeissigRBLMWCDWPCKS12,4,1
10.1016/j.jocs.2013.12.001,http://dblp.l3s.de/d2r/resource/publications/journals/jocs/KumarCK14,1,0
10.1007/978-3-540-28649-3_28,http://dblp.l3s.de/d2r/resource/publications/conf/dagm/DeselaersKN04,1,0
10.1016/j.engappai.2015.11.008,http://dblp.l3s.de/d2r/resource/publications/journals/eaai/MoralesATMA16,1,0
10.1007/s11263-010-0362-6,http://dblp.l3s.de/d2r/resource/publications/journals/ijcv/VenkatW11,1,0
10.1007/978-3-540-24673-2_31,http://dblp.l3s.de/d2r/resource/publications/conf/eccv/LevinZPW04,2,1
10.1371/journal.pcbi.1004270,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/MolkovBTR15,2,1
10.1016/j.displa.2007.09.016,http://dblp.l3s.de/d2r/resource/publications/journals/displays/SheedyTSGH08,1,0
10.1016/j.pmcj.2011.09.004,http://dblp.l3s.de/d2r/resource/publications/journals/percom/AharonyPIKP11,10,1
10.1371/journal.pcbi.1002985,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/PriesemannVWQ13,8,1
10.1007/s10827-006-7949-5,http://dblp.l3s.de/d2r/resource/publications/journals/jcns/MiglioreCLMH06,4,1
10.1371/journal.pcbi.1003335,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/StoryVSWDD13,2,1
10.1186/1758-2946-3-11,http://dblp.l3s.de/d2r/resource/publications/journals/jcheminf/RosenbaumHJZ11,2,1
10.1093/bioinformatics/btp103,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/LeeS09,5,1
10.1155/2015/349874,http://dblp.l3s.de/d2r/resource/publications/journals/cmmm/AchoR15,1,0
10.1093/nar/gkn681,http://dblp.l3s.de/d2r/resource/publications/journals/nar/ZerlotiniHWMDRKO09,1,0
10.1016/j.neuroimage.2015.06.031,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/HacialihafizB15,1,0
10.1007/3-540-59496-5_320,http://dblp.l3s.de/d2r/resource/publications/conf/ecal/StanleyAS95,1,0
10.1109/34.273736,http://dblp.l3s.de/d2r/resource/publications/journals/pami/DunnHW94,1,0
10.1093/bioinformatics/bti431,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/HattneFE05,2,1
10.1016/j.neuroimage.2010.10.068,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/RosburgMJ11,2,1
10.1186/1687-1499-2012-205,http://dblp.l3s.de/d2r/resource/publications/journals/ejwcn/MenghwarJMHM12,1,0
10.1093/nar/gks1144,http://dblp.l3s.de/d2r/resource/publications/journals/nar/XiaoWYHWZKGZLZ13,1,0
10.1007/s11235-015-0021-x,http://dblp.l3s.de/d2r/resource/publications/journals/telsys/SriyanandaJH16,1,0
10.3390/systems2020186,http://dblp.l3s.de/d2r/resource/publications/journals/systems/Hulbert14,1,0
10.1093/bioinformatics/btr492,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/FaziusSS11,1,0
10.1162/jocn_a_00460,http://dblp.l3s.de/d2r/resource/publications/journals/jocn/CapotostoBRC14,3,1
10.1093/bioinformatics/btq107,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/CaoMM10,1,0
10.1007/s11192-015-1646-y,http://dblp.l3s.de/d2r/resource/publications/journals/scientometrics/KonigFKS15,1,0
10.1016/j.neuroimage.2013.04.064,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/LangeCS13,1,0
10.1162/jocn.2009.21140,http://dblp.l3s.de/d2r/resource/publications/journals/jocn/ZendelA09,3,1
10.1016/j.cor.2007.02.019,http://dblp.l3s.de/d2r/resource/publications/journals/cor/ShaH08,1,0
10.1007/s13278-015-0273-1,http://dblp.l3s.de/d2r/resource/publications/journals/snam/AlowibdiBYGM15,1,0
10.1007/11949619_6,http://dblp.l3s.de/d2r/resource/publications/conf/icvgip/HeikkilaPS06,1,0
10.1007/s11128-015-0937-9,http://dblp.l3s.de/d2r/resource/publications/journals/qip/SunYZ15,1,0
10.1007/s10618-013-0312-3,http://dblp.l3s.de/d2r/resource/publications/journals/datamine/BatistaKTS14,2,1
10.1002/rob.21412,http://dblp.l3s.de/d2r/resource/publications/journals/jfr/LambertFBE12,1,0
10.1016/j.joi.2013.11.001,http://dblp.l3s.de/d2r/resource/publications/journals/joi/YuYW14,2,1
10.1109/83.551699,http://dblp.l3s.de/d2r/resource/publications/journals/tip/CharbonnierBAB97,1,0
10.1093/nar/gku1180,http://dblp.l3s.de/d2r/resource/publications/journals/nar/BlinDWRLA15,7,1
10.1002/jcc.23149,http://dblp.l3s.de/d2r/resource/publications/journals/jcc/HuangZ13,1,0
10.1093/bioinformatics/bts504,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/YangLMKN12,5,1
10.1007/s00422-004-0490-6,http://dblp.l3s.de/d2r/resource/publications/journals/bc/KrauseD04,1,0
10.1093/bioinformatics/btq617,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/BellePHS11,1,0
10.1007/978-3-540-92219-3_13,http://dblp.l3s.de/d2r/resource/publications/conf/biostec/SivaswamyACRD08,1,0
10.1007/3-540-38424-3_26,http://dblp.l3s.de/d2r/resource/publications/conf/crypto/LapidotS90,1,0
10.1007/978-3-319-02475-2_10,http://dblp.l3s.de/d2r/resource/publications/conf/miccai/NeherLSM13,1,0
10.1371/journal.pcbi.1001116,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/OberhardtPSP11,6,1
10.1093/database/bau073,http://dblp.l3s.de/d2r/resource/publications/journals/biodb/KhareWMLL14,2,1
10.1007/3-540-45786-0_58,http://dblp.l3s.de/d2r/resource/publications/conf/miccai/FlandinKPMAP02,2,1
10.1093/bioinformatics/btu861,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/StaabZML15,6,1
10.1186/1471-2105-7-359,http://dblp.l3s.de/d2r/resource/publications/journals/bmcbi/JefferyHC06,6,1
10.1007/s11036-007-0011-7,http://dblp.l3s.de/d2r/resource/publications/journals/monet/AndersonMSBCHBM07,2,1
10.1016/j.jbi.2015.03.008,http://dblp.l3s.de/d2r/resource/publications/journals/jbi/HsuGCVPVB15,1,0
10.1186/2041-1480-5-50,http://dblp.l3s.de/d2r/resource/publications/journals/biomedsem/LingutlaPTCMJ14,1,0
10.1136/amiajnl-2011-000538,http://dblp.l3s.de/d2r/resource/publications/journals/jamia/Ohno-MachadoBBCCCDFHJKKMRVt12,5,1
10.1007/3-540-45813-1_69,http://dblp.l3s.de/d2r/resource/publications/conf/rsctc/BazanOSSSW02,1,0
10.1109/18.796397,http://dblp.l3s.de/d2r/resource/publications/journals/tit/Wolfmann99,1,0
10.1093/bioinformatics/btr718,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/Komurov12,1,0
10.1007/s11192-013-0994-8,http://dblp.l3s.de/d2r/resource/publications/journals/scientometrics/KumarJ13,2,1
10.1007/978-3-540-27767-5_24,http://dblp.l3s.de/d2r/resource/publications/conf/sapir/LindgrenDS04,1,0
10.1016/j.sigpro.2014.08.029,http://dblp.l3s.de/d2r/resource/publications/journals/sigpro/ZhangGDWGM15,1,0
10.1007/s11548-011-0599-8,http://dblp.l3s.de/d2r/resource/publications/journals/cars/WildePRSW12,1,0
10.1016/j.im.2005.05.001,http://dblp.l3s.de/d2r/resource/publications/journals/iam/Okazaki06,1,0
10.1016/j.patcog.2007.07.017,http://dblp.l3s.de/d2r/resource/publications/journals/pr/WuT08,1,0
10.1093/nar/gkq1168,http://dblp.l3s.de/d2r/resource/publications/journals/nar/RobertsCHRAPCFGHKMMOSTLVSSDSK11,1,0
10.1007/978-3-642-17248-9_38,http://dblp.l3s.de/d2r/resource/publications/conf/socrob/CabibihanJSG10,1,0
10.3233/978-1-60750-706-2-163,http://dblp.l3s.de/d2r/resource/publications/conf/mmvr/MauroCOANTPGE11,1,0
10.3390/e17106743,http://dblp.l3s.de/d2r/resource/publications/journals/entropy/LiPSCWS15,1,0
10.1016/j.peva.2013.05.001,http://dblp.l3s.de/d2r/resource/publications/journals/pe/BaumannDOS13,1,0
10.1016/j.patrec.2009.07.003,http://dblp.l3s.de/d2r/resource/publications/journals/prl/NagarNJ10,1,0
10.1155/2015/450341,http://dblp.l3s.de/d2r/resource/publications/journals/cmmm/DespotovicGP15,2,1
10.1007/978-3-540-27755-2_18,http://dblp.l3s.de/d2r/resource/publications/conf/ac/KristensenJJ03,1,0
10.1080/13658816.2014.924627,http://dblp.l3s.de/d2r/resource/publications/journals/gis/PocasGMACH14,1,0
10.1207/s15427633scc0304_5,http://dblp.l3s.de/d2r/resource/publications/journals/scc/WienerM03,2,1
10.1109/34.19039,http://dblp.l3s.de/d2r/resource/publications/journals/pami/FukunagaH89,1,0
10.1109/83.661192,http://dblp.l3s.de/d2r/resource/publications/journals/tip/BlackSMH98,2,1
10.1007/s11517-011-0736-0,http://dblp.l3s.de/d2r/resource/publications/journals/mbec/LeeP11,1,0
10.1371/journal.pcbi.1003899,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/DorpBB14,2,1
10.1287/orsc.1050.0149,http://dblp.l3s.de/d2r/resource/publications/journals/orgsci/Bechky06,1,0
10.1002/jcc.1162,http://dblp.l3s.de/d2r/resource/publications/journals/jcc/HardinEPLW02,1,0
10.1109/56.768,http://dblp.l3s.de/d2r/resource/publications/journals/trob/Durrant-Whyte88,2,1
10.1111/j.1756-8765.2012.01186.x,http://dblp.l3s.de/d2r/resource/publications/journals/topics/GoudbeekK12,2,1
10.1093/bioinformatics/btr439,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/LexaMBKB11,2,1
10.1093/bioinformatics/bti797,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/McDonnellJKB06,14,1
10.1007/s12021-010-9094-6,http://dblp.l3s.de/d2r/resource/publications/journals/ni/KarageorgiouSGAHLCBSG11,4,1
10.1016/j.cviu.2015.05.006,http://dblp.l3s.de/d2r/resource/publications/journals/cviu/SarbolandiLK15,1,0
10.1007/s10489-015-0723-5,http://dblp.l3s.de/d2r/resource/publications/journals/apin/SuMHD16,2,1
10.1007/s12532-013-0051-x,http://dblp.l3s.de/d2r/resource/publications/journals/mpc/QinSG13,1,0
10.1186/1752-0509-4-54,http://dblp.l3s.de/d2r/resource/publications/journals/bmcsb/MaierHRM10,1,0
10.1007/3-540-60922-9_45,http://dblp.l3s.de/d2r/resource/publications/conf/stacs/BealMR96,1,0
10.1117/1.3662910,http://dblp.l3s.de/d2r/resource/publications/journals/jei/ChiranjeeviS11,2,1
10.1007/s10339-012-0483-7,http://dblp.l3s.de/d2r/resource/publications/journals/cp/GianelliRMMB12,1,0
10.1007/s10957-010-9713-2,http://dblp.l3s.de/d2r/resource/publications/journals/jota/TakahashiTT10,1,0
10.1016/j.amc.2014.10.023,http://dblp.l3s.de/d2r/resource/publications/journals/amc/DasN14,2,1
10.1371/journal.pcbi.1003733,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/BarreraAMCV14,2,1
10.1287/mnsc.1070.0735,http://dblp.l3s.de/d2r/resource/publications/journals/mansci/WakkerTM07,1,0
10.1016/j.ress.2006.01.008,http://dblp.l3s.de/d2r/resource/publications/journals/ress/Johnson06,1,0
10.1016/j.sigpro.2013.12.026,http://dblp.l3s.de/d2r/resource/publications/journals/sigpro/PimentelCCT14,3,1
10.1007/978-3-642-31522-0_95,http://dblp.l3s.de/d2r/resource/publications/conf/icchp/ZhangTC12,1,0
10.1371/journal.pcbi.1004245,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/LetortPETNB15,1,0
10.1093/database/bav091,http://dblp.l3s.de/d2r/resource/publications/journals/biodb/WilmingBH15,1,0
10.1093/bioinformatics/btp602,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/NiuOJ10,4,1
10.1016/j.compenvurbsys.2014.05.004,http://dblp.l3s.de/d2r/resource/publications/journals/urban/BiljeckiLSZ14,1,0
10.1007/978-3-642-17650-0_5,http://dblp.l3s.de/d2r/resource/publications/conf/icics/ClavierFGRV10,1,0
10.1016/j.jnca.2013.09.015,http://dblp.l3s.de/d2r/resource/publications/journals/jnca/AbreuRM14,1,0
10.1016/j.jbi.2014.08.013,http://dblp.l3s.de/d2r/resource/publications/journals/jbi/LinWL15,1,0
10.1007/978-3-319-11749-2_37,http://dblp.l3s.de/d2r/resource/publications/conf/wise/KondylakisPHWPS14,2,1
10.1518/0018720054679542,http://dblp.l3s.de/d2r/resource/publications/journals/hf/CairdECH05,2,1
10.1007/978-3-662-44753-6,http://dblp.l3s.de/d2r/resource/publications/conf/wabi/2014,1,0
10.1186/1471-2105-12-213,http://dblp.l3s.de/d2r/resource/publications/journals/bmcbi/DayMCLCHKKLM11,1,0
10.1016/j.neuroimage.2009.02.023,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/MarquesMMG09,2,1
10.1162/jocn.2010.21593,http://dblp.l3s.de/d2r/resource/publications/journals/jocn/MeyerGW11,2,1
10.1016/j.eswa.2011.02.082,http://dblp.l3s.de/d2r/resource/publications/journals/eswa/RafieiMB11,1,0
10.1186/1471-2105-12-67,http://dblp.l3s.de/d2r/resource/publications/journals/bmcbi/BechecPVMZSATWLF11,3,1
10.1093/bioinformatics/btm362,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/BattYWB07,1,0
10.1162/jocn_a_00776,http://dblp.l3s.de/d2r/resource/publications/journals/jocn/IlievaHF15,6,1
10.1016/j.neuroimage.2012.05.056,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/CarmichaelVRTML12,3,1
10.3389/neuro.11.006.2008,http://dblp.l3s.de/d2r/resource/publications/journals/fini/RayB08,2,1
10.1007/s10822-013-9705-z,http://dblp.l3s.de/d2r/resource/publications/journals/jcamd/Warr14,1,0
10.1108/07378831011076701,http://dblp.l3s.de/d2r/resource/publications/journals/lht/Hendricks10,1,0
10.1016/j.neuroimage.2015.03.004,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/LippMCW15,2,1
10.1186/1752-0509-7-79,http://dblp.l3s.de/d2r/resource/publications/journals/bmcsb/WangLCHLCC13,3,1
10.1186/1748-7188-7-1,http://dblp.l3s.de/d2r/resource/publications/journals/almob/MatsudaTI12,3,1
10.1109/42.276151,http://dblp.l3s.de/d2r/resource/publications/journals/tmi/FooGMS94,1,0
10.1093/bioinformatics/btq293,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/ZeitouniBJLLNDB10,17,1
10.1016/j.patcog.2012.09.020,http://dblp.l3s.de/d2r/resource/publications/journals/pr/AkinlarT13,1,0
10.1093/bioinformatics/btv680,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/PirklHKS16,1,0
10.1016/j.ins.2014.02.025,http://dblp.l3s.de/d2r/resource/publications/journals/isci/Gomez-VillegasMV14,1,0
10.1093/bioinformatics/btr061,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/DiltheyMLM11,1,0
10.1016/j.chb.2011.12.019,http://dblp.l3s.de/d2r/resource/publications/journals/chb/McCreeryKSB12,1,0
10.1111/j.1756-8765.2010.01082.x,http://dblp.l3s.de/d2r/resource/publications/journals/topics/BenderHM10,3,1
10.1016/j.neuroimage.2011.06.030,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/LeoniPHNTAS11,1,0
10.1016/j.comcom.2004.12.028,http://dblp.l3s.de/d2r/resource/publications/journals/comcom/MahapatraAA06,1,0
10.1016/j.neuroimage.2011.12.044,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/ForstmannKJBNSAT12,3,1
10.1002/asi.21149,http://dblp.l3s.de/d2r/resource/publications/journals/jasis/JansenZSC09,1,0
10.1007/s10207-006-0011-9,http://dblp.l3s.de/d2r/resource/publications/journals/ijisec/ChenCS07,1,0
10.3389/fncom.2015.00099,http://dblp.l3s.de/d2r/resource/publications/journals/ficn/Diehl015,5,1
10.1007/s12559-014-9255-2,http://dblp.l3s.de/d2r/resource/publications/journals/cogcom/Huang14,6,1
10.1093/bioinformatics/btv561,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/WangWM16,1,0
10.1093/bioinformatics/btq220,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/CoelhoPM10,2,1
10.1186/1471-2105-8-131,http://dblp.l3s.de/d2r/resource/publications/journals/bmcbi/KarlenMPMM07,5,1
10.1016/j.neuroimage.2013.09.002,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/LopezLEFB14,3,1
10.1016/j.patcog.2013.09.037,http://dblp.l3s.de/d2r/resource/publications/journals/pr/NazHRAMK14,1,0
10.1016/j.neuroimage.2011.11.078,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/GutchessS12,1,0
10.1371/journal.pcbi.1001078,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/PersiHNBV11,1,0
10.1016/j.neuroimage.2011.09.035,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/WangSZCCJL12,6,1
10.1016/j.joi.2010.06.004,http://dblp.l3s.de/d2r/resource/publications/journals/joi/WagnerRBKBKRB11,5,1
10.3390/sym7020935,http://dblp.l3s.de/d2r/resource/publications/journals/symmetry/KangPS15,1,0
10.3389/fncom.2014.00037,http://dblp.l3s.de/d2r/resource/publications/journals/ficn/WebbR14,3,1
10.1111/jcal.12029,http://dblp.l3s.de/d2r/resource/publications/journals/jcal/VoogtEDM13,1,0
10.1371/journal.pcbi.1000517,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/BatemanB09,1,0
10.1007/978-3-642-23629-7_11,http://dblp.l3s.de/d2r/resource/publications/conf/miccai/ZhangDA11,2,1
10.1007/978-3-540-39899-8_73,http://dblp.l3s.de/d2r/resource/publications/conf/miccai/FanDHK03,2,1
10.1021/ci400019t,http://dblp.l3s.de/d2r/resource/publications/journals/jcisd/NegriRCPJF13,1,0
10.1021/ci400731w,http://dblp.l3s.de/d2r/resource/publications/journals/jcisd/Joseph-McCarthyCKM14,3,1
10.1016/j.csda.2012.02.016,http://dblp.l3s.de/d2r/resource/publications/journals/csda/WangW13,1,0
10.1016/j.jbi.2006.12.008,http://dblp.l3s.de/d2r/resource/publications/journals/jbi/RevereTMRBKF07,1,0
10.1016/j.ress.2015.05.003,http://dblp.l3s.de/d2r/resource/publications/journals/ress/SatteleBS15,1,0
10.1007/978-3-642-23629-7_81,http://dblp.l3s.de/d2r/resource/publications/conf/miccai/LorenziAFP11,1,0
10.1007/978-3-642-32894-7_6,http://dblp.l3s.de/d2r/resource/publications/conf/uc/Patitz12,1,0
10.1136/amiajnl-2011-000170,http://dblp.l3s.de/d2r/resource/publications/journals/jamia/ForanYCHGRWKPSS11,1,0
10.1007/11599463_25,http://dblp.l3s.de/d2r/resource/publications/conf/msn/ChenX05,1,0
10.1016/j.knosys.2012.09.006,http://dblp.l3s.de/d2r/resource/publications/journals/kbs/ZhaoW13,1,0
10.1007/978-3-319-19929-0_20,http://dblp.l3s.de/d2r/resource/publications/conf/cpm/HalesMPS15,1,0
10.1016/j.neuroimage.2008.04.027,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/HaasCC08,2,1
10.1016/j.robot.2004.07.003,http://dblp.l3s.de/d2r/resource/publications/journals/ras/SearaS04,2,1
